#Date of last update:
Date,2017-04-23 23:19:24.700777
#taxon id,CITES species,CITES description,taxon species,CITES appendix
387805,Accipiter poliogaster,"Appendix II:Excludes <i>Caracara lutosa</i> and Cathartidae spp. ","Accipiter poliogaster",2
518696,Accipiter rufiventris,"Appendix II:Excludes <i>Caracara lutosa</i> and Cathartidae spp. ","Accipiter rufiventris",2
387806,Accipiter soloensis,"Appendix II:Excludes <i>Caracara lutosa</i> and Cathartidae spp. ","Accipiter soloensis",2
56330,Accipiter striatus,"Appendix II:Excludes <i>Caracara lutosa</i> and Cathartidae spp. ","Accipiter striatus",2
56255,Accipiter superciliosus,"Appendix II:Excludes <i>Caracara lutosa</i> and Cathartidae spp. ","Accipiter superciliosus",2
387808,Accipiter tachiro,"Appendix II:Excludes <i>Caracara lutosa</i> and Cathartidae spp. ","Accipiter tachiro",2
387809,Accipiter toussenelii,"Appendix II:Excludes <i>Caracara lutosa</i> and Cathartidae spp. ","Accipiter toussenelii",2
210844,Accipiter trivirgatus,"Appendix II:Excludes <i>Caracara lutosa</i> and Cathartidae spp. ","Accipiter trivirgatus",2
387810,Accipiter virgatus,"Appendix II:Excludes <i>Caracara lutosa</i> and Cathartidae spp. ","Accipiter virgatus",2
56259,Accipitridae,"Appendix II:Excludes <i>Caracara lutosa</i> and Cathartidae spp. ","Accipitridae",1
56259,Accipitridae,"Appendix II:Excludes <i>Caracara lutosa</i> and Cathartidae spp. ","Accipitridae",2
58056,Acerodon,"Appendix II: ","Acerodon",1
58056,Acerodon,"Appendix II: ","Acerodon",2
58057,Acerodon celebensis,"Appendix II: ","Acerodon celebensis",2
505845,Acerodon jubatus,"Appendix I:Includes <i>Acerodon lucifer</i> (possibly extinct) ","Acerodon jubatus",1
175823,Aceros,"Appendix II: ","Aceros",1
175823,Aceros,"Appendix II: ","Aceros",2
175824,Aceros cassidix,"Appendix II: ","Aceros cassidix",2
175825,Aceros corrugatus,"Appendix II: ","Aceros corrugatus",2
1244801,Aceros leucocephalus,"Appendix II: ","Aceros leucocephalus",2
866358,Aceros nipalensis,"Appendix I: ","Aceros nipalensis",1
978109,Aceros waldeni,"Appendix II: ","Aceros waldeni",2
32535,Acinonyx,"Appendix I: ","Acinonyx",1
32536,Acinonyx jubatus,"Appendix I:Annual export quotas for live specimens and hunting trophies are granted as follows: BW (5), NA (150), ZW (50). The trade in such specimens is subject to the provisions of Article III of the Convention. ","Acinonyx jubatus",1
7901,Acipenser,"Appendix II: ","Acipenser",1
7901,Acipenser,"Appendix II: ","Acipenser",2
27689,Acipenser baerii,"Appendix II: ","Acipenser baerii",2
7907,Acipenser brevirostrum,"Appendix I: ","Acipenser brevirostrum",1
62061,Acipenser dabryanus,"Appendix II: ","Acipenser dabryanus",2
41871,Acipenser fulvescens,"Appendix II:Included in ACIPENSERIFORMES spp. ","Acipenser fulvescens",2
7902,Acipenser gueldenstaedtii,"Appendix II: ","Acipenser gueldenstaedtii",2
7900,Acipenseridae,"Appendix II: ","Acipenseridae",1
7900,Acipenseridae,"Appendix II: ","Acipenseridae",2
7899,Acipenseriformes,"Appendix II: ","Acipenseriformes",1
7899,Acipenseriformes,"Appendix II: ","Acipenseriformes",2
7908,Acipenser medirostris,"Appendix II: ","Acipenser medirostris",2
61966,Acipenser mikadoi,"Appendix II: ","Acipenser mikadoi",2
42330,Acipenser naccarii,"Appendix II: ","Acipenser naccarii",2
61967,Acipenser nudiventris,"Appendix II: ","Acipenser nudiventris",2
36177,Acipenser oxyrinchus,"Appendix II:Included in ACIPENSERIFORMES spp. ","Acipenser oxyrinchus",2
61968,Acipenser persicus,"Appendix II: ","Acipenser persicus",2
7906,Acipenser ruthenus,"Appendix II: ","Acipenser ruthenus",2
111304,Acipenser schrenckii,"Appendix II: ","Acipenser schrenckii",2
61970,Acipenser sinensis,"Appendix II: ","Acipenser sinensis",2
7903,Acipenser stellatus,"Appendix II: ","Acipenser stellatus",2
61674,Acipenser sturio,"Appendix I: ","Acipenser sturio",1
7904,Acipenser transmontanus,"Appendix II: ","Acipenser transmontanus",2
46742,Acrhelia,"Appendix II:Excludes fossils. ","Acrhelia",2
46743,Acrhelia horrescens,"Appendix II:Excludes fossils. ","Acrhelia horrescens",2
6127,Acropora,"Appendix II:Included in SCLERACTINIA spp. ","Acropora",2
513054,Acropora abrolhosensis,"Appendix II:Included in SCLERACTINIA spp. ","Acropora abrolhosensis",2
676057,Acropora abrotanoides,"Appendix II:Included in SCLERACTINIA spp. ","Acropora abrotanoides",2
287157,Acropora aculeus,"Appendix II:Included in SCLERACTINIA spp. ","Acropora aculeus",2
367763,Acropora acuminata,"Appendix II:Included in SCLERACTINIA spp. ","Acropora acuminata",2
117777,Acropora anthocercis,"Appendix II:Included in SCLERACTINIA spp. ","Acropora anthocercis",2
140238,Acropora aspera,"Appendix II:Included in SCLERACTINIA spp. ","Acropora aspera",2
117779,Acropora austera,"Appendix II:Included in SCLERACTINIA spp. ","Acropora austera",2
513055,Acropora batunai,"Appendix II:Included in SCLERACTINIA spp. ","Acropora batunai",2
1911932,Acropora branchi,"Appendix II:Included in SCLERACTINIA spp. ","Acropora branchi",2
513056,Acropora bushyensis,"Appendix II:Included in SCLERACTINIA spp. ","Acropora bushyensis",2
513057,Acropora carduus,"Appendix II:Included in SCLERACTINIA spp. ","Acropora carduus",2
513058,Acropora caroliniana,"Appendix II:Included in SCLERACTINIA spp. ","Acropora caroliniana",2
89338,Acropora cerealis,"Appendix II:Included in SCLERACTINIA spp. ","Acropora cerealis",2
6130,Acropora cervicornis,"Appendix II:Included in SCLERACTINIA spp. ","Acropora cervicornis",2
513061,Acropora chesterfieldensis,"Appendix II:Included in SCLERACTINIA spp. ","Acropora chesterfieldensis",2
877182,Acropora clathrata,"Appendix II:Included in SCLERACTINIA spp. ","Acropora clathrata",2
46686,Acropora cytherea,"Appendix II:Included in SCLERACTINIA spp. ","Acropora cytherea",2
213634,Acropora danai,"Appendix II:Included in SCLERACTINIA spp. ","Acropora danai",2
513062,Acropora dendrum,"Appendix II:Included in SCLERACTINIA spp. ","Acropora dendrum",2
513063,Acropora derawanensis,"Appendix II:Included in SCLERACTINIA spp. ","Acropora derawanensis",2
70779,Acropora digitifera,"Appendix II:Included in SCLERACTINIA spp. ","Acropora digitifera",2
117776,Acropora divaricata,"Appendix II:Included in SCLERACTINIA spp. ","Acropora divaricata",2
34495,Acropora donei,"Appendix II:Included in SCLERACTINIA spp. ","Acropora donei",2
513064,Acropora echinata,"Appendix II:Included in SCLERACTINIA spp. ","Acropora echinata",2
513065,Acropora elegans,"Appendix II:Included in SCLERACTINIA spp. ","Acropora elegans",2
156433,Acropora elseyi,"Appendix II:Included in SCLERACTINIA spp. ","Acropora elseyi",2
526283,Acropora eurystoma,"Appendix II:Included in SCLERACTINIA spp. ","Acropora eurystoma",2
70782,Acropora florida,"Appendix II:Included in SCLERACTINIA spp. ","Acropora florida",2
126732,Acropora formosa,"Appendix II:Included in SCLERACTINIA spp. ","Acropora formosa",2
70780,Acropora gemmifera,"Appendix II:Included in SCLERACTINIA spp. ","Acropora gemmifera",2
421498,Acropora globiceps,"Appendix II:Included in SCLERACTINIA spp. ","Acropora globiceps",2
156434,Acropora grandis,"Appendix II:Included in SCLERACTINIA spp. ","Acropora grandis",2
513066,Acropora granulosa,"Appendix II:Included in SCLERACTINIA spp. ","Acropora granulosa",2
1550497,Acropora haimei,"Appendix II:Included in SCLERACTINIA spp. ","Acropora haimei",2
213635,Acropora hemprichii,"Appendix II:Included in SCLERACTINIA spp. ","Acropora hemprichii",2
513067,Acropora horrida,"Appendix II:Included in SCLERACTINIA spp. ","Acropora horrida",2
46687,Acropora humilis,"Appendix II:Included in SCLERACTINIA spp. ","Acropora humilis",2
55974,Acropora hyacinthus,"Appendix II:Included in SCLERACTINIA spp. ","Acropora hyacinthus",2
513068,Acropora indonesia,"Appendix II:Included in SCLERACTINIA spp. ","Acropora indonesia",2
114500,Acropora intermedia,"Appendix II:Included in SCLERACTINIA spp. ","Acropora intermedia",2
513069,Acropora jacquelineae,"Appendix II:Included in SCLERACTINIA spp. ","Acropora jacquelineae",2
1216037,Acropora japonica,"Appendix II:Included in SCLERACTINIA spp. ","Acropora japonica",2
564431,Acropora kimbeensis,"Appendix II:Included in SCLERACTINIA spp. ","Acropora kimbeensis",2
513070,Acropora kirstyae,"Appendix II:Included in SCLERACTINIA spp. ","Acropora kirstyae",2
6129,Acropora latistella,"Appendix II:Included in SCLERACTINIA spp. ","Acropora latistella",2
156435,Acropora listeri,"Appendix II:Included in SCLERACTINIA spp. ","Acropora listeri",2
564432,Acropora loisetteae,"Appendix II:Included in SCLERACTINIA spp. ","Acropora loisetteae",2
564433,Acropora lokani,"Appendix II:Included in SCLERACTINIA spp. ","Acropora lokani",2
55975,Acropora longicyathus,"Appendix II:Included in SCLERACTINIA spp. ","Acropora longicyathus",2
154029,Acropora loripes,"Appendix II:Included in SCLERACTINIA spp. ","Acropora loripes",2
513072,Acropora lutkeni,"Appendix II:Included in SCLERACTINIA spp. ","Acropora lutkeni",2
513073,Acropora microclados,"Appendix II:Included in SCLERACTINIA spp. ","Acropora microclados",2
156436,Acropora microphthalma,"Appendix II:Included in SCLERACTINIA spp. ","Acropora microphthalma",2
45264,Acropora millepora,"Appendix II:Included in SCLERACTINIA spp. ","Acropora millepora",2
209514,Acropora monticulosa,"Appendix II:Included in SCLERACTINIA spp. ","Acropora monticulosa",2
421499,Acropora multiacuta,"Appendix II:Included in SCLERACTINIA spp. ","Acropora multiacuta",2
513074,Acropora nana,"Appendix II:Included in SCLERACTINIA spp. ","Acropora nana",2
70778,Acropora nasuta,"Appendix II:Included in SCLERACTINIA spp. ","Acropora nasuta",2
70781,Acropora nobilis,"Appendix II:Included in SCLERACTINIA spp. ","Acropora nobilis",2
6131,Acropora palmata,"Appendix II:Included in SCLERACTINIA spp. ","Acropora palmata",2
117926,Acropora palmerae,"Appendix II:Included in SCLERACTINIA spp. ","Acropora palmerae",2
141010,Acropora papillare,"Appendix II:Included in SCLERACTINIA spp. ","Acropora papillare",2
513075,Acropora pichoni,"Appendix II:Included in SCLERACTINIA spp. ","Acropora pichoni",2
513076,Acropora polystoma,"Appendix II:Included in SCLERACTINIA spp. ","Acropora polystoma",2
127871,Acropora prolifera,"Appendix II:Included in SCLERACTINIA spp. ","Acropora prolifera",2
1045499,Acropora pruinosa,"Appendix II:Included in SCLERACTINIA spp. ","Acropora pruinosa",2
140239,Acropora pulchra,"Appendix II:Included in SCLERACTINIA spp. ","Acropora pulchra",2
421500,Acropora retusa,"Appendix II:Included in SCLERACTINIA spp. ","Acropora retusa",2
676058,Acropora robusta,"Appendix II:Included in SCLERACTINIA spp. ","Acropora robusta",2
564435,Acropora rongelapensis,"Appendix II:Included in SCLERACTINIA spp. ","Acropora rongelapensis",2
1550498,Acropora rosaria,"Appendix II:Included in SCLERACTINIA spp. ","Acropora rosaria",2
253554,Acropora samoensis,"Appendix II:Included in SCLERACTINIA spp. ","Acropora samoensis",2
154030,Acropora sarmentosa,"Appendix II:Included in SCLERACTINIA spp. ","Acropora sarmentosa",2
117784,Acropora secale,"Appendix II:Included in SCLERACTINIA spp. ","Acropora secale",2
165727,Acropora selago,"Appendix II:Included in SCLERACTINIA spp. ","Acropora selago",2
513077,Acropora solitaryensis,"Appendix II:Included in SCLERACTINIA spp. ","Acropora solitaryensis",2
141011,Acropora spathulata,"Appendix II:Included in SCLERACTINIA spp. ","Acropora spathulata",2
564436,Acropora speciosa,"Appendix II:Included in SCLERACTINIA spp. ","Acropora speciosa",2
191023,Acropora spicifera,"Appendix II:Included in SCLERACTINIA spp. ","Acropora spicifera",2
513078,Acropora subglabra,"Appendix II:Included in SCLERACTINIA spp. ","Acropora subglabra",2
564437,Acropora tenella,"Appendix II:Included in SCLERACTINIA spp. ","Acropora tenella",2
70783,Acropora tenuis,"Appendix II:Included in SCLERACTINIA spp. ","Acropora tenuis",2
564438,Acropora tortuosa,"Appendix II:Included in SCLERACTINIA spp. ","Acropora tortuosa",2
55976,Acropora valida,"Appendix II:Included in SCLERACTINIA spp. ","Acropora valida",2
117785,Acropora vaughani,"Appendix II:Included in SCLERACTINIA spp. ","Acropora vaughani",2
117780,Acropora verweyi,"Appendix II:Included in SCLERACTINIA spp. ","Acropora verweyi",2
564439,Acropora walindii,"Appendix II:Included in SCLERACTINIA spp. ","Acropora walindii",2
117778,Acropora yongei,"Appendix II:Included in SCLERACTINIA spp. ","Acropora yongei",2
6126,Acroporidae,"Appendix II:Excludes fossils. ","Acroporidae",2
59515,Addax nasomaculatus,"Appendix I: ","Addax nasomaculatus",1
304593,Adelomyia,"Appendix II: ","Adelomyia",2
304594,Adelomyia melanogenys,"Appendix II: ","Adelomyia melanogenys",2
498515,Adelopora,"Appendix II:Excludes fossils. ","Adelopora",2
498516,Adelopora crassilabrum,"Appendix II:Excludes fossils. ","Adelopora crassilabrum",2
520277,Adelopora fragilis,"Appendix II:Excludes fossils. ","Adelopora fragilis",2
1004433,Adelphobates,"Appendix II:Formerly included in <i>Dendrobates</i> spp. ","Adelphobates",2
200925,Adelphobates castaneoticus,"Appendix II:Formerly included in <i>Dendrobates</i> spp. ","Adelphobates castaneoticus",2
238116,Adelphobates galactonotus,"Appendix II:Formerly included in <i>Dendrobates</i> spp. ","Adelphobates galactonotus",2
200927,Adelphobates quinquevittatus,"Appendix II:Formerly included in <i>Dendrobates</i> spp. ","Adelphobates quinquevittatus",2
56264,Aegolius,"Appendix II:Except <i>Sceloglaux albifacies</i> and the species included in Appendix I. ","Aegolius",2
56265,Aegolius acadicus,"Appendix II:Except <i>Sceloglaux albifacies</i> and the species included in Appendix I. ","Aegolius acadicus",2
103375,Aegolius funereus,"Appendix II:Except <i>Sceloglaux albifacies</i> and the species included in Appendix I. ","Aegolius funereus",2
126850,Aegolius harrisii,"Appendix II:Except <i>Sceloglaux albifacies</i> and the species included in Appendix I. ","Aegolius harrisii",2
8958,Aegypius,"Appendix II:Excludes <i>Caracara lutosa</i> and Cathartidae spp. ","Aegypius",2
8959,Aegypius monachus,"Appendix II:Excludes <i>Caracara lutosa</i> and Cathartidae spp. ","Aegypius monachus",2
156153,Afrotis,"Appendix II: ","Afrotis",2
156154,Afrotis afra,"Appendix II: ","Afrotis afra",2
172677,Afrotis afraoides,"Appendix II: ","Afrotis afraoides",2
75989,Agalychnis,"Appendix II: ","Agalychnis",2
75990,Agalychnis annae,"Appendix II: ","Agalychnis annae",2
197464,Agalychnis callidryas,"Appendix II: ","Agalychnis callidryas",2
431669,Agalychnis moreletii,"Appendix II: ","Agalychnis moreletii",2
248773,Agalychnis saltator,"Appendix II: ","Agalychnis saltator",2
317303,Agalychnis spurrelli,"Appendix II: ","Agalychnis spurrelli",2
60461,Agapornis,"Appendix II:Excludes <i>Agapornis roseicollis, Melopsittacus undulatus, Nymphicus hollandicus, Psittacula krameri</i>. ","Agapornis",2
60462,Agapornis canus,"Appendix II:Excludes <i>Agapornis roseicollis, Melopsittacus undulatus, Nymphicus hollandicus, Psittacula krameri</i>. ","Agapornis canus",2
60463,Agapornis fischeri,"Appendix II:Excludes <i>Agapornis roseicollis, Melopsittacus undulatus, Nymphicus hollandicus, Psittacula krameri</i>. ","Agapornis fischeri",2
60464,Agapornis lilianae,"Appendix II:Excludes <i>Agapornis roseicollis, Melopsittacus undulatus, Nymphicus hollandicus, Psittacula krameri</i>. ","Agapornis lilianae",2
60465,Agapornis nigrigenis,"Appendix II:Excludes <i>Agapornis roseicollis, Melopsittacus undulatus, Nymphicus hollandicus, Psittacula krameri</i>. ","Agapornis nigrigenis",2
60466,Agapornis personatus,"Appendix II:Excludes <i>Agapornis roseicollis, Melopsittacus undulatus, Nymphicus hollandicus, Psittacula krameri</i>. ","Agapornis personatus",2
60467,Agapornis pullarius,"Appendix II:Excludes <i>Agapornis roseicollis, Melopsittacus undulatus, Nymphicus hollandicus, Psittacula krameri</i>. ","Agapornis pullarius",2
1002726,Agapornis swindernianus,"Appendix II:Excludes <i>Agapornis roseicollis, Melopsittacus undulatus, Nymphicus hollandicus, Psittacula krameri</i>. ","Agapornis swindernianus",2
60469,Agapornis taranta,"Appendix II:Excludes <i>Agapornis roseicollis, Melopsittacus undulatus, Nymphicus hollandicus, Psittacula krameri</i>. ","Agapornis taranta",2
89881,Agaricia,"Appendix II:Excludes fossils. ","Agaricia",2
89882,Agaricia agaricites,"Appendix II:Excludes fossils. ","Agaricia agaricites",2
165097,Agaricia fragilis,"Appendix II:Excludes fossils. ","Agaricia fragilis",2
465075,Agaricia grahamae,"Appendix II:Excludes fossils. ","Agaricia grahamae",2
367765,Agaricia humilis,"Appendix II:Excludes fossils. ","Agaricia humilis",2
262284,Agaricia lamarcki,"Appendix II:Excludes fossils. ","Agaricia lamarcki",2
262285,Agaricia tenuifolia,"Appendix II:Excludes fossils. ","Agaricia tenuifolia",2
214956,Agaricia undata,"Appendix II:Excludes fossils. ","Agaricia undata",2
46724,Agariciidae,"Appendix II:Excludes fossils. ","Agariciidae",2
56647,Aglaeactis,"Appendix II: ","Aglaeactis",2
304595,Aglaeactis castelnaudii,"Appendix II: ","Aglaeactis castelnaudii",2
56648,Aglaeactis cupripennis,"Appendix II: ","Aglaeactis cupripennis",2
688841,Aglaeactis pamela,"Appendix II: ","Aglaeactis pamela",2
304596,Aglaiocercus,"Appendix II: ","Aglaiocercus",2
304597,Aglaiocercus coelestis,"Appendix II: ","Aglaiocercus coelestis",2
472768,Aglaiocercus kingi,"Appendix II: ","Aglaiocercus kingi",2
9645,Ailuropoda,"Appendix II: ","Ailuropoda",1
9646,Ailuropoda melanoleuca,"Appendix I: ","Ailuropoda melanoleuca",1
9649,Ailurus fulgens,"Appendix I: ","Ailurus fulgens",1
167803,Aldabrachelys,"Appendix II:Except the species included in Appendix I. A zero annual export quota has been established for Centrochelys sulcata for specimens removed from the wild and traded for primarily commercial purposes. ","Aldabrachelys",2
167804,Aldabrachelys gigantea,"Appendix II:Except the species included in Appendix I. A zero annual export quota has been established for Centrochelys sulcata for specimens removed from the wild and traded for primarily commercial purposes. ","Aldabrachelys gigantea",2
309869,Alisterus,"Appendix II:Excludes <i>Agapornis roseicollis, Melopsittacus undulatus, Nymphicus hollandicus, Psittacula krameri</i>. ","Alisterus",2
309870,Alisterus amboinensis,"Appendix II:Excludes <i>Agapornis roseicollis, Melopsittacus undulatus, Nymphicus hollandicus, Psittacula krameri</i>. ","Alisterus amboinensis",2
678558,Alisterus chloropterus,"Appendix II:Excludes <i>Agapornis roseicollis, Melopsittacus undulatus, Nymphicus hollandicus, Psittacula krameri</i>. ","Alisterus chloropterus",2
458117,Alisterus scapularis,"Appendix II:Excludes <i>Agapornis roseicollis, Melopsittacus undulatus, Nymphicus hollandicus, Psittacula krameri</i>. ","Alisterus scapularis",2
54134,Allenopithecus,"Appendix II: ","Allenopithecus",2
54135,Allenopithecus nigroviridis,"Appendix II: ","Allenopithecus nigroviridis",2
8495,Alligator,"Appendix II:Includes Alligatoridae, Crocodylidae, Gavialidae. ","Alligator",1
8495,Alligator,"Appendix II:Includes Alligatoridae, Crocodylidae, Gavialidae. ","Alligator",2
1294636,Alligatoridae,"Appendix II:Includes Alligatoridae, Crocodylidae, Gavialidae. ","Alligatoridae",1
1294636,Alligatoridae,"Appendix II:Includes Alligatoridae, Crocodylidae, Gavialidae. ","Alligatoridae",2
8496,Alligator mississippiensis,"Appendix II:Included in CROCODYLIA spp. ","Alligator mississippiensis",2
38654,Alligator sinensis,"Appendix I: ","Alligator sinensis",1
92733,Allobates femoralis,"Appendix II: ","Allobates femoralis",2
997826,Allobates hodli,"Appendix II:Formerly included in <i>Allobates femoralis</i>. ","Allobates hodli",2
238112,Allobates zaparo,"Appendix II: ","Allobates zaparo",2
122247,Allocebus,"Appendix I: ","Allocebus",1
122248,Allocebus trichotis,"Appendix I: ","Allocebus trichotis",1
578573,Allopathes,"Appendix II: ","Allopathes",2
578586,Allopathes desbonni,"Appendix II: ","Allopathes desbonni",2
761941,Allopathes robillardi,"Appendix II: ","Allopathes robillardi",2
7851,Alopias,"Appendix II:Entry into effect delayed by 12 months, i.e. until 4 October 2017 ","Alopias",2
57979,Alopias pelagicus,"Appendix II:Entry into effect delayed by 12 months, i.e. until 4 October 2017 ","Alopias pelagicus",2
