694474,Antilocapra americana,"Antilocapra americana (Only the population of Mexico; no other population is included in the Appendices)",Antilocapra americana sonoriensis,1
59525,Antilope cervicapra,"Antilope cervicapra (Nepal)",Antilope cervicapra,3
9891,Antilocapra americana,"Antilocapra americana (Only the population of Mexico; no other population is included in the Appendices)",Antilocapra americana,1
43347,Bison bison athabascae,"Bison bison athabascae",Bison bison athabascae,2
89462,Bubalus arnee,"Bubalus arnee (Nepal) (Excludes the domesticated form, which is referenced as Bubalus bubalis)",Bubalus bubalis,3
59515,Addax nasomaculatus,"Addax nasomaculatus",Addax nasomaculatus,1
9899,Ammotragus lervia,"Ammotragus lervia",Ammotragus lervia,2
391902,Bubalus arnee,"Bubalus arnee (Nepal) (Excludes the domesticated form, which is referenced as Bubalus bubalis)",Bubalus bubalis bubalis,3
