56639,Bubalus mindorensis,"Bubalus mindorensis",Bubalus mindorensis,1
330703,Tayassuidae spp.,"Tayassuidae spp. (Except the species included in Appendix I and the populations of Pecari tajacu of Mexico and the United States of America, which are not included in the Appendices)",Pecari sp. maximus,2
59896,Ovis vignei,"Ovis vignei (Except the subspecies included in Appendix I)",Ovis vignei,2
498590,Naemorhedus caudatus,"Naemorhedus caudatus",Naemorhedus caudatus raddeanus,1
43347,Bison bison athabascae,"Bison bison athabascae",Bison bison athabascae,2
554455,Canis lupus,"Canis lupus (Except the populations of Bhutan, India, Nepal and Pakistan, which are included in Appendix I. Excludes the domesticated form and the dingo which are referenced as Canis lupus familiaris and Canis lupus dingo.)",Canis lupus laniger,2
89462,Bubalus arnee,"Bubalus arnee (Nepal) (Excludes the domesticated form, which is referenced as Bubalus bubalis)",Bubalus bubalis,3
676787,Canis lupus,"Canis lupus (Except the populations of Bhutan, India, Nepal and Pakistan, which are included in Appendix I. Excludes the domesticated form and the dingo which are referenced as Canis lupus familiaris and Canis lupus dingo.)",Canis lupus labradorius,2
509060,Ovis vignei,"Ovis vignei (Except the subspecies included in Appendix I)",Ovis vignei vignei,2
9833,Hippopotamus amphibius,"Hippopotamus amphibius",Hippopotamus amphibius,2
9828,Tayassuidae spp.,"Tayassuidae spp. (Except the species included in Appendix I and the populations of Pecari tajacu of Mexico and the United States of America, which are not included in the Appendices)",Tayassu,2
373516,Capra falconeri,"Capra falconeri",Capra falconeri megaceros,1
373515,Capra falconeri,"Capra falconeri",Capra falconeri heptneri,1
69303,Gazella leptoceros,"Gazella leptoceros",Gazella leptoceros,1
69301,Gazella cuvieri,"&#9;Gazella cuvieri",Gazella cuvieri,1
694474,Antilocapra americana,"Antilocapra americana (Only the population of Mexico; no other population is included in the Appendices)",Antilocapra americana sonoriensis,1
648175,Moschus spp.,"Moschus spp. (Except the populations of Afghanistan, Bhutan, India, Myanmar, Nepal and Pakistan, which are included in Appendix I)",Moschus sp. NAA-2009a,2
9827,Tayassuidae spp.,"Tayassuidae spp. (Except the species included in Appendix I and the populations of Pecari tajacu of Mexico and the United States of America, which are not included in the Appendices)",Tayassuidae,2
9664,Mellivora capensis,"Mellivora capensis (Botswana)",Mellivora capensis,3
443256,Canis lupus,"Canis lupus (Except the populations of Bhutan, India, Nepal and Pakistan, which are included in Appendix I. Excludes the domesticated form and the dingo which are referenced as Canis lupus familiaris and Canis lupus dingo.)",Canis lupus lupus,2
156212,Ovis ammon,"Ovis ammon (Except the subspecies included in Appendix I)",Ovis ammon ammon,2
164931,Cervus elaphus bactrianus,"Cervus elaphus bactrianus",Cervus elaphus bactrianus,2
1073286,Capricornis milneedwardsii,"Capricornis milneedwardsii",Capricornis milneedwardsii,1
425934,Canis lupus,"Canis lupus (Except the populations of Bhutan, India, Nepal and Pakistan, which are included in Appendix I. Excludes the domesticated form and the dingo which are referenced as Canis lupus familiaris and Canis lupus dingo.)",Canis lupus signatus,2
9829,Tayassuidae spp.,"Tayassuidae spp. (Except the species included in Appendix I and the populations of Pecari tajacu of Mexico and the United States of America, which are not included in the Appendices)",Pecari tajacu,2
